Left Speed |	 Right Speed |	 Left Error |	 Right Error |	 Left Effort |	 Right Effort |	
48.87 |	45.81 |	1.13 |	4.19 |	23.78 |	23.17
54.98 |	51.92 |	-4.98 |	-1.92 |	21.45 |	21.15
51.92 |	51.92 |	-1.92 |	-1.92 |	22.18 |	20.96
51.92 |	48.87 |	-1.92 |	1.13 |	21.99 |	21.99
51.92 |	45.81 |	-1.92 |	4.19 |	21.79 |	23.32
48.87 |	54.98 |	1.13 |	-4.98 |	22.82 |	20.07
51.92 |	48.87 |	-1.92 |	1.13 |	21.71 |	22.02
51.92 |	51.92 |	-1.92 |	-1.92 |	21.52 |	20.91
48.87 |	48.87 |	1.13 |	1.13 |	22.55 |	21.94
51.92 |	48.87 |	-1.92 |	1.13 |	21.44 |	22.05
48.87 |	48.87 |	1.13 |	1.13 |	22.47 |	22.17
51.92 |	51.92 |	-1.92 |	-1.92 |	21.36 |	21.06
51.92 |	51.92 |	-1.92 |	-1.92 |	21.17 |	20.86
48.87 |	48.87 |	1.13 |	1.13 |	22.20 |	21.89
51.92 |	48.87 |	-1.92 |	1.13 |	21.09 |	22.01
51.92 |	48.87 |	-1.92 |	1.13 |	20.90 |	22.12
48.87 |	54.98 |	1.13 |	-4.98 |	21.93 |	19.79
45.81 |	45.81 |	4.19 |	4.19 |	23.26 |	22.96
51.92 |	48.87 |	-1.92 |	1.13 |	21.24 |	22.15
51.92 |	51.92 |	-1.92 |	-1.92 |	21.05 |	21.05
51.92 |	51.92 |	-1.92 |	-1.92 |	20.85 |	20.85
48.87 |	48.87 |	1.13 |	1.13 |	21.88 |	21.88
45.81 |	48.87 |	4.19 |	1.13 |	23.22 |	22.00
51.92 |	48.87 |	-1.92 |	1.13 |	21.19 |	22.11
51.92 |	48.87 |	-1.92 |	1.13 |	21.00 |	22.22
48.87 |	51.92 |	1.13 |	-1.92 |	22.03 |	21.11
48.87 |	51.92 |	1.13 |	-1.92 |	22.14 |	20.92
51.92 |	48.87 |	-1.92 |	1.13 |	21.03 |	21.95
51.92 |	48.87 |	-1.92 |	1.13 |	20.84 |	22.06
45.81 |	51.92 |	4.19 |	-1.92 |	23.09 |	20.95
51.92 |	48.87 |	-1.92 |	1.13 |	21.07 |	21.98
51.92 |	48.87 |	-1.92 |	1.13 |	20.88 |	22.10
48.87 |	51.92 |	1.13 |	-1.92 |	21.90 |	20.99
48.87 |	48.87 |	1.13 |	1.13 |	22.02 |	22.02
48.87 |	48.87 |	1.13 |	1.13 |	22.13 |	22.13
51.92 |	51.92 |	-1.92 |	-1.92 |	21.02 |	21.02
51.92 |	51.92 |	-1.92 |	-1.92 |	20.83 |	20.83
48.87 |	48.87 |	1.13 |	1.13 |	21.86 |	21.86
48.87 |	48.87 |	1.13 |	1.13 |	21.97 |	21.97
48.87 |	48.87 |	1.13 |	1.13 |	22.09 |	22.09
51.92 |	51.92 |	-1.92 |	-1.92 |	20.98 |	20.98
48.87 |	51.92 |	1.13 |	-1.92 |	22.01 |	20.78
48.87 |	45.81 |	1.13 |	4.19 |	22.12 |	23.04
54.98 |	51.92 |	-4.98 |	-1.92 |	19.79 |	21.01
48.87 |	48.87 |	1.13 |	1.13 |	21.73 |	22.04
45.81 |	54.98 |	4.19 |	-4.98 |	23.07 |	19.71
51.92 |	45.81 |	-1.92 |	4.19 |	21.04 |	22.88
51.92 |	51.92 |	-1.92 |	-1.92 |	20.85 |	20.85
48.87 |	48.87 |	1.13 |	1.13 |	21.88 |	21.88
48.87 |	48.87 |	1.13 |	1.13 |	21.99 |	21.99
51.92 |	48.87 |	-1.92 |	1.13 |	20.89 |	22.11
45.81 |	51.92 |	4.19 |	-1.92 |	23.14 |	21.00
51.92 |	48.87 |	-1.92 |	1.13 |	21.11 |	22.03
51.92 |	48.87 |	-1.92 |	1.13 |	20.92 |	22.14
48.87 |	51.92 |	1.13 |	-1.92 |	21.95 |	21.03
48.87 |	51.92 |	1.13 |	-1.92 |	22.06 |	20.84
51.92 |	48.87 |	-1.92 |	1.13 |	20.95 |	21.87
48.87 |	48.87 |	1.13 |	1.13 |	21.98 |	21.98
48.87 |	48.87 |	1.13 |	1.13 |	22.10 |	22.10
48.87 |	51.92 |	1.13 |	-1.92 |	22.21 |	20.99
54.98 |	48.87 |	-4.98 |	1.13 |	19.88 |	22.02
48.87 |	51.92 |	1.13 |	-1.92 |	21.82 |	20.91
45.81 |	48.87 |	4.19 |	1.13 |	23.16 |	21.94
51.92 |	48.87 |	-1.92 |	1.13 |	21.13 |	22.05
51.92 |	51.92 |	-1.92 |	-1.92 |	20.94 |	20.94
48.87 |	48.87 |	1.13 |	1.13 |	21.97 |	21.97
48.87 |	48.87 |	1.13 |	1.13 |	22.08 |	22.08
51.92 |	48.87 |	-1.92 |	1.13 |	20.98 |	22.20
48.87 |	54.98 |	1.13 |	-4.98 |	22.00 |	19.87
48.87 |	45.81 |	1.13 |	4.19 |	22.12 |	23.03
51.92 |	51.92 |	-1.92 |	-1.92 |	21.01 |	21.01
