51.92 |	51.92 |	-1.92 |	-1.92 |	24.82 |	22.38
48.87 |	45.81 |	1.13 |	4.19 |	25.85 |	24.63
51.92 |	51.92 |	-1.92 |	-1.92 |	24.75 |	22.61
48.87 |	51.92 |	1.13 |	-1.92 |	25.77 |	22.42
51.92 |	48.87 |	-1.92 |	1.13 |	24.67 |	23.44
48.87 |	48.87 |	1.13 |	1.13 |	25.70 |	23.56
51.92 |	51.92 |	-1.92 |	-1.92 |	24.59 |	22.45
48.87 |	48.87 |	1.13 |	1.13 |	25.62 |	23.48
51.92 |	51.92 |	-1.92 |	-1.92 |	24.51 |	22.37
51.92 |	48.87 |	-1.92 |	1.13 |	24.32 |	23.40
48.87 |	51.92 |	1.13 |	-1.92 |	25.34 |	22.29
48.87 |	48.87 |	1.13 |	1.13 |	25.46 |	23.32
51.92 |	51.92 |	-1.92 |	-1.92 |	24.35 |	22.21
51.92 |	48.87 |	-1.92 |	1.13 |	24.16 |	23.24
48.87 |	48.87 |	1.13 |	1.13 |	25.19 |	23.35
51.92 |	51.92 |	-1.92 |	-1.92 |	24.08 |	22.24
48.87 |	51.92 |	1.13 |	-1.92 |	25.11 |	22.05
51.92 |	48.87 |	-1.92 |	1.13 |	24.00 |	23.08
45.81 |	48.87 |	4.19 |	1.13 |	26.25 |	23.20
54.98 |	51.92 |	-4.98 |	-1.92 |	23.00 |	22.09
48.87 |	48.87 |	1.13 |	1.13 |	24.95 |	23.12
48.87 |	51.92 |	1.13 |	-1.92 |	25.06 |	22.01
48.87 |	48.87 |	1.13 |	1.13 |	25.17 |	23.04
51.92 |	48.87 |	-1.92 |	1.13 |	24.07 |	23.15
48.87 |	51.92 |	1.13 |	-1.92 |	25.10 |	22.04
51.92 |	48.87 |	-1.92 |	1.13 |	23.99 |	23.07
51.92 |	51.92 |	-1.92 |	-1.92 |	23.79 |	21.96
45.81 |	48.87 |	4.19 |	1.13 |	26.05 |	22.99
48.87 |	45.81 |	1.13 |	4.19 |	25.24 |	24.33
54.98 |	51.92 |	-4.98 |	-1.92 |	22.91 |	22.30
45.81 |	48.87 |	4.19 |	1.13 |	26.08 |	23.33
51.92 |	51.92 |	-1.92 |	-1.92 |	24.05 |	22.22
48.87 |	48.87 |	1.13 |	1.13 |	25.08 |	23.25
51.92 |	51.92 |	-1.92 |	-1.92 |	23.97 |	22.14
48.87 |	48.87 |	1.13 |	1.13 |	25.00 |	23.17
51.92 |	48.87 |	-1.92 |	1.13 |	23.90 |	23.28
48.87 |	51.92 |	1.13 |	-1.92 |	24.93 |	22.18
48.87 |	48.87 |	1.13 |	1.13 |	25.04 |	23.21
48.87 |	51.92 |	1.13 |	-1.92 |	25.15 |	22.10
51.92 |	48.87 |	-1.92 |	1.13 |	24.04 |	23.13
51.92 |	51.92 |	-1.92 |	-1.92 |	23.85 |	22.02
48.87 |	48.87 |	1.13 |	1.13 |	24.88 |	23.05
48.87 |	51.92 |	1.13 |	-1.92 |	24.99 |	21.94
48.87 |	48.87 |	1.13 |	1.13 |	25.11 |	22.97
51.92 |	48.87 |	-1.92 |	1.13 |	24.00 |	23.08
48.87 |	48.87 |	1.13 |	1.13 |	25.03 |	23.19
48.87 |	51.92 |	1.13 |	-1.92 |	25.14 |	22.09
51.92 |	48.87 |	-1.92 |	1.13 |	24.03 |	23.11
51.92 |	48.87 |	-1.92 |	1.13 |	23.84 |	23.23
45.81 |	51.92 |	4.19 |	-1.92 |	26.09 |	22.12
51.92 |	51.92 |	-1.92 |	-1.92 |	24.06 |	21.93
51.92 |	45.81 |	-1.92 |	4.19 |	23.87 |	24.18
48.87 |	51.92 |	1.13 |	-1.92 |	24.90 |	22.15
48.87 |	48.87 |	1.13 |	1.13 |	25.01 |	23.18
48.87 |	51.92 |	1.13 |	-1.92 |	25.13 |	22.07
51.92 |	48.87 |	-1.92 |	1.13 |	24.02 |	23.10
48.87 |	51.92 |	1.13 |	-1.92 |	25.05 |	21.99
51.92 |	45.81 |	-1.92 |	4.19 |	23.94 |	24.25
48.87 |	51.92 |	1.13 |	-1.92 |	24.97 |	22.22
48.87 |	48.87 |	1.13 |	1.13 |	25.08 |	23.25
48.87 |	51.92 |	1.13 |	-1.92 |	25.20 |	22.14
51.92 |	51.92 |	-1.92 |	-1.92 |	24.09 |	21.95
51.92 |	48.87 |	-1.92 |	1.13 |	23.89 |	22.98
48.87 |	45.81 |	1.13 |	4.19 |	24.92 |	24.31
48.87 |	51.92 |	1.13 |	-1.92 |	25.04 |	22.29
48.87 |	51.92 |	1.13 |	-1.92 |	25.15 |	22.10
51.92 |	48.87 |	-1.92 |	1.13 |	24.04 |	23.13
51.92 |	51.92 |	-1.92 |	-1.92 |	23.85 |	22.02
45.81 |	48.87 |	4.19 |	1.13 |	26.10 |	23.05
51.92 |	51.92 |	-1.92 |	-1.92 |	24.08 |	21.94
51.92 |	48.87 |	-1.92 |	1.13 |	23.88 |	22.97
48.87 |	48.87 |	1.13 |	1.13 |	24.91 |	23.08
48.87 |	48.87 |	1.13 |	1.13 |	25.03 |	23.19
48.87 |	54.98 |	1.13 |	-4.98 |	25.14 |	20.86
51.92 |	45.81 |	-1.92 |	4.19 |	24.03 |	24.03
51.92 |	51.92 |	-1.92 |	-1.92 |	23.84 |	22.00
48.87 |	48.87 |	1.13 |	1.13 |	24.87 |	23.03
48.87 |	51.92 |	1.13 |	-1.92 |	24.98 |	21.93
